"DPD Table Rates","DPD cenik"
"DPD Same Day","DPD isti dan"
"Your new shipment was successfully communicated to DPD.","Vnos nove pošilje je bil uspešno oddan"
"DPD says, ""%1""","DPD pravi,"
"An error occurred communicating the shipment to DPD. The shipping method '%1' is invalid","Prišlo je do napake pri oddaji pošilje. Metoda je nepravilna."
"The shipment could not be communicated to DPD because the shipping street the maximum permitted length of %1 characters. <br />Please edit the shipping address to reduce the length of the street in the shipping address.","Oddaja paketa ni bila možna, saj je naslov za dostavo omejen na ??  znakov. Prosimo uredite naslov do največje dovoljene dolžine."
"An error occurred communicating the shipment to DPD:<br /> ""%1""","Prišlo je do napake pri oddaji pošiljke"
"DPD could not process the new shipment. The following error was returned: <br /> ""%1: %2""","DPD ni mogel obdelati nove pošiljke. Prišlo je do naslednje napake"
"Successfully closed manifest %1 for the following shipments. <a href='%2'>Download the manifest</a>.","Seznam pakeotv je bil uspešno zaključen za sledeče pakete. Prenesite seznam."
"An error occurred whilst closing the manifest: %1","Prišlo je do napake pri zapiranju seznama pakeotv."
"A problem occurred whilst attempting to download a manifest. No manifest was specified in the request.","Prišlo je do napake pri prenosu seznama paketov. Noben seznam ni bil označen v zahtevi."
"A problem occurred whilst attempting to download the manifest id %1: %1","Prišlo je do napake pri prenosu seznama paketov."
"A problem occurred whilst attempting to download the manifest %1. The manifest no longer exists.","Prišlo je do napake pri prenosu seznama paketov. Seznam ne obstaja."
"An unexpected problem occurred whilst attempting to download the manifest %1. %1","Prišlo je do nepričakovane napake pri shranjevanju seznama paketov."
"Please select the shipments for which you wish to arrange a pickup.","Izberite pakete, za katere želite urediti prevzem"
"Please enter a pickup date in the format DD/MM/YYYY.","Prosimo vnesite datum prevzema v obliki DD/MM/LLLL"
"Please select a from and to time for the pickup.","Prosimo izberite kraj in čas prevzema"
"You cannot create a pickup because you have not fully specified your pickup address. <br />Please set your pickup address in System->Configuration->Sales->Shipping Settings->DPD GeoPost Pickup Address.","Naročilo prevzema ni mogoče, saj je naslov prevzema zaveden napačno. Prosimo nastavite naslov prevzema v System->Configuration->Sales->Shipping Settings->DPD GeoPost Pickup Address."
"Unable to load shipment information for this shipment %1.","Ni možno naložiti podatkov o pošiljki"
"Your list did not contain any DPD shipments for which to arrange a pickup.","Vaš seznam ne vsebuje nobenih paketov za oddajo naročila prevzema"
"A problem occurred whilst communicating your shipment to DPD. <br />""%1""","Prišlo je do napake pri oddaji naročila"
"DPD reported an error whilst attempting to arrange your pickup. <br />DPD says, ""%1""","Zabeležili smo napako med poskusom organizacije prevzema paketov."
"Invalid Table Rates File Format","nepravilna oblika zapisa cenika"
"An error occurred while import table rates.","Prišlo je do napake pri vnosu cen."
"%1$d records have been imported. See the following list of errors for each record that has not been imported: %2$s","Zapisi so bili uvoženi. Oglejte si seznam napak pri vsakem zapisu, ki ni bil uvožen."
"Invalid Table Rates format in the Row #%1","nepravilna oblika zapisa cenika v vrstici"
"Invalid Country ""%1"" in the Row #%1.","Neveljavna država v vrstici"
"Invalid Region/State ""%1"" in the Row #%1.","Neveljavna regija/država v vrstici"
"Invalid weight/price ""%1"" in the Row #%1.","Neveljavna teža/cena v vrstici"
"Invalid price/percentage ""%1"" in the Row #%1.","Neveljavna cena/odstotek v vrstici"
"Invalid service ""%1"" in the Row #%1.","Neveljavna storitev v vrstici"
"Invalid COD Surcharge ""%1"" in the Row #%1.","Neveljaven dodatek COD v vrstici"
"Invalid value Price vs Dest value ""%1"" in the Row #%1. The value should be 0 (Weight vs Dest) or 1 (Price vs Dest).","Nepravilna vrednost cene v primerjavi z destinacijo v vrstici. Vrednost mora biti 0 (teža v primerjavi z destinacijo) ali 1 (cena v primerjavi z destinacijo)."
"Duplicate Row #%1 (Country ""%1"", Region/State ""%1"", Zip ""%1"", Weight/Price ""%1"", Method ""%1"", Price vs Dest ""%1"").","Podvojene vrstice (Cržava, Regija, Teža/Cena, Metoda)"
"Once the manifest is closed, you will not be able to make further changes to the shipping address. Do you want to continue?","Ko enkrat zaprete seznam izbranih paketov, ne bo več možno spreminjanje naslovov dostave. Želite nadaljevati?"
"Print Manifest","Natisni seznam paketov"
"Close Manifest","Zapri seznam paketov"
"-- Please select an option --","Prosimo izberite možnost"
"Other (enter web service URLs manually)","Drugo (naslov spletne strani vnesite ročno)"
"Carrier","prevoznik"
"Title","naslov"
"Number","število"
"Label","nalepka"
"Action","ukrepanje"
"Delete","izbriši"
"Taking this action will cancel the shipment with DPD. Are you sure you want to continue?","S tem ukazom boste preklicali pošiljanje. Želite nadaljevati?"
"Are you sure?","Ste sigurni? / Zagotovo?"
"Table Rates","Interaktivni  ceniki"
"Table Rates","Interaktivni ceniki"
"Save","Shrani"
"Delete","Zbriši"
"Duplicate","Podvoji"
"Save And Continue Edit","Shrani in nadaljuj z urejanjem"
"Weight (and above)","Teža"
"Price (and above)","Cena"
"Shipping Price","Cena pošiljanja"
"Shipping Percentage","Procent pošiljanja"
"Fixed Cash On Delivery Surcharge Amount","Znesek COD dodatka "
"Minimum COD Surcharge","Minimalen COD dodatek"
"Edit Rate","Uredi stopnjo"
"New Rate","Nova stopnja"
"Export","Izvoz"
"Website","Spletna stran"
"Dest Country","Namembna država"
"Dest Zip/Postal Code","ZIP/ Poštna številka"
"* or blank - matches any","* ali prazno -ujemanje z vsemi"
"Service","storitev"
"For rates with this service to be available, you must enable the service from the configuration panel of the shipping method in System->Configuration->Shipping Methods","Če želite omogočiti stopnjo storitve, morate nastaviti v System->Configuration->Shipping Methods"
"Product","Produkt"
"For rates with this product to be available, you must enable the product from the configuration panel of the shipping method in System->Configuration->Shipping Methods","Če želite omogočiti stopnjo izdelka, morate nastaviti v System->Configuration->Shipping Methods"
"Condition","Pogoji"
"Price vs. Destination","Cena vs. Destinacija"
"Weight vs. Destination","Teža vs. Destinacija"
"Enable Shipping Method","Omogoči metodo pošiljanja"
"Disabled","Onemogoči"
"Enabled","Omogči"
"Disable the shipping method if you would like it to be unavailable for orders whose price or weight is greater or equal to the value you have indicated.","Onemogoči pošiljanje, v kolikor želite, da ni na voljo za naročila, katerih cena ali teža je enaka ali večja od vrednosti, ki ste jih navedli."
"Shipping Price Calculation","Kalkulator cen pošiljanja"
"Fixed Price","Fiksna cena"
"Add Percentage","Dodaj procent"
"Use 'Add Percentage' if you want to calculate the shipping price by adding a percentage to price charged by the shipping carrier.","Uporabite ""Dodaj Odstotek"", če želite izračunati ceno prevoza z dodanim dodatkom."
"Shipping Price","Cena pošiljanja"
"Cash On Delivery Surcharge Calculation","Kalkulator COD dodatka"
"Cash On Delivery Not Available","COD ni na voljo"
"Zero Surcharge","Nični dodatek"
"Fixed Surcharge","Fiksni dodatek"
"Percentage Surcharge","Procentualni dodatek"
"Fixed Cash On Delivery Surcharge","Fiksni COD dodatek"
"Minimum COD Surcharge","Minimalni COD dodatek"
"Optionally specify the minimum COD surcharge.","Določi (opcijsko) minimalni COD dodatek"
"Dest Region/State","Namebna regija"
"Import Rates","Uvozi cene"
"ID","ID"
"Destination Country","Namembna država"
"Dest Region/State","Namembna regija"
"Destination Zip/Postal Code","Zip/Poštna številka"
"Yes","Da"
"No","Ne"
"Shipping Price %","Cena pošiljanja %"
"COD Surcharge","COD dodatek"
"COD Surcharge %","COD dodatek %"
"COD Min. Surcharge","COD min dodatek"
"Are you sure?","Ste prepričani?"
"Import","Uvozi cene"
"Promotion","Promocija"
"New Rate","Nova cena"
"Import Rates","Uvozi cene"
"Export Rates","Izvozi cene"
"Rate duplicated successfully","Cena uspešno podvojena"
"Rate was successfully saved","Cena uspešno shranjena"
"The rate could not be saved because it duplicates the destination, service/product and weight/price of an existing rate. Change some of the rate's values and try saving again.","Stopnje ni bili mogoče shraniti, saj je podvojen naslov dotave, storitev/izdelek in teža/cena. Spremenite katero izmed vrednosti in ponovno poskusite shraniti."
"Unable to find rate to save","Ne najde cen za s"
"Rate was successfully deleted","Cena je bila uspešno zbrisana"
"Total of %1 record(s) have been deleted.","Skupaj  od  zapisov je bilo izbrisanih"
"An error occurred while updating records.","Med posodabljanjem zapisa je prišlo do napake."
"Please specify the website and file you wish to import","Navedite spletno stran in datoteko, ki jo želite uvoziti"
"An error occurred whilst importing the tablerates: %1","Med uvažanjem cen je prišlo do napake"
"Table rates imported successfully","Lestvica cen je bila uspešno uvožena"
"Please specify the website whose rates you want to export","Navedite spletno stran, katere stopnje želite izvoziti"
"Add Rate","Dodajte ceno"
"Import Rates","Uvozne cene"
"Export Rates","Izvozne cene"
"Cash On Delivery Surcharge Percentage","Dodatek za plačilo ob dostavi"
"Enter the starting weight in kg for this rate.","Vnesite začetno težo v kg."
"Enter the starting price for this rate in the base currency of website. This rate will apply to orders whose subtotal (excluding shipping) is greater or equal to this price. Only include the sales tax/VAT in this price if you have configured shipping prices to include it (see System->Configuration->Sales->Tax->Calulation Settings->Shipping Prices).","Vnesite začetno ceno za to stopnjo v osnovni valuti. Ta stopnja se uporablja za naročila, pri katerih vmesni seštevek(brez poštnine) znaša več ali enako tej ceni. Cene vključujejo DDV, v kolikor ste nastavili možnost, da ga vključujejo (System->Configuration->Sales->Tax->Calulation Settings->Shipping Prices)."
"Print Shipping Labels", "Izis paketne oznake"
